Rank,Tier,Name,Team,Position,BYE WEEK,SOS SEASON,ECR VS. ADP
138,10,Trey Benson,ARI,RB,8,3 out of 5 stars,12
139,10,Brenton Strange,JAC,TE,8,3 out of 5 stars,38
140,10,Michael Penix Jr.,ATL,QB,5,4 out of 5 stars,23
141,10,Rachaad White,TB,RB,9,3 out of 5 stars,-18
142,10,Jalen McMillan,TB,WR,9,3 out of 5 stars,34
143,10,Rashod Bateman,BAL,WR,7,3 out of 5 stars,19
144,10,Marquise Brown,KC,WR,10,3 out of 5 stars,2
145,10,Drake Maye,NE,QB,14,5 out of 5 stars,-5
146,10,Rico Dowdle,CAR,RB,14,3 out of 5 stars,28
147,10,Austin Ekeler,WAS,RB,12,2 out of 5 stars,-20
148,10,Bryce Young,CAR,QB,14,3 out of 5 stars,53
149,10,Pat Freiermuth,PIT,TE,5,3 out of 5 stars,24
150,10,Ray Davis,BUF,RB,7,4 out of 5 stars,6
151,10,Colston Loveland,CHI,TE,5,4 out of 5 stars,-41
152,10,Jaylen Wright,MIA,RB,12,4 out of 5 stars,19
153,10,Denver Broncos,DEN,DST,12,4 out of 5 stars,19
154,10,DeMario Douglas,NE,WR,14,3 out of 5 stars,78
155,10,Geno Smith,LV,QB,8,3 out of 5 stars,57
156,10,Tyler Allgeier,ATL,RB,5,4 out of 5 stars,-3
157,10,Jayden Higgins,HOU,WR,6,4 out of 5 stars,-16
158,10,Marvin Mims Jr.,DEN,WR,12,3 out of 5 stars,-11
159,10,Luther Burden III,CHI,WR,5,2 out of 5 stars,-7
160,10,Kyle Williams,NE,WR,14,3 out of 5 stars,8
161,10,Philadelphia Eagles,PHI,DST,9,2 out of 5 stars,20
162,10,Bhayshul Tuten,JAC,RB,8,2 out of 5 stars,-32
163,10,Jerome Ford,CLE,RB,9,4 out of 5 stars,-4
164,10,Braelon Allen,NYJ,RB,9,5 out of 5 stars,5
165,10,Sam Darnold,SEA,QB,8,4 out of 5 stars,43
166,10,Blake Corum,LAR,RB,8,3 out of 5 stars,55
167,10,Pittsburgh Steelers,PIT,DST,5,3 out of 5 stars,18
168,10,Romeo Doubs,GB,WR,5,2 out of 5 stars,15
169,10,Adam Thielen,CAR,WR,14,4 out of 5 stars,-4
170,10,Zach Ertz,WAS,TE,12,3 out of 5 stars,-21
171,10,Baltimore Ravens,BAL,DST,7,3 out of 5 stars,17
172,10,Minnesota Vikings,MIN,DST,6,2 out of 5 stars,50
173,11,Kyle Pitts Sr.,ATL,TE,5,3 out of 5 stars,-34
174,11,Tre' Harris,LAC,WR,12,3 out of 5 stars,-39
175,11,Jack Bech,LV,WR,8,4 out of 5 stars,-32
176,11,Joshua Palmer,BUF,WR,7,3 out of 5 stars,40
177,11,Roschon Johnson,CHI,RB,5,3 out of 5 stars,1
178,11,Jaydon Blue,DAL,RB,10,2 out of 5 stars,-52
179,11,Quentin Johnston,LAC,WR,12,3 out of 5 stars,7
180,11,MarShawn Lloyd,GB,RB,5,4 out of 5 stars,11
181,11,Houston Texans,HOU,DST,6,2 out of 5 stars,11
182,11,Xavier Legette,CAR,WR,14,4 out of 5 stars,-18
183,11,Kansas City Chiefs,KC,DST,10,1 out of 5 stars,16
184,11,Detroit Lions,DET,DST,8,1 out of 5 stars,12
185,11,Buffalo Bills,BUF,DST,7,5 out of 5 stars,5
186,11,Jalen Coker,CAR,WR,14,4 out of 5 stars,76
187,11,Brandon Aubrey,DAL,K,10,4 out of 5 stars,-80
188,11,Alec Pierce,IND,WR,11,4 out of 5 stars,65
189,11,New York Jets,NYJ,DST,9,5 out of 5 stars,57
190,11,Los Angeles Chargers,LAC,DST,12,5 out of 5 stars,23
191,11,Cameron Dicker,LAC,K,12,5 out of 5 stars,-73
192,11,Jake Bates,DET,K,8,1 out of 5 stars,-64
193,11,Isaiah Likely,BAL,TE,7,3 out of 5 stars,-42
194,11,DJ Giddens,IND,RB,11,2 out of 5 stars,66
195,11,Chris Boswell,PIT,K,5,1 out of 5 stars,-51
196,11,Wil Lutz,DEN,K,12,5 out of 5 stars,-21
197,11,Jaleel McLaughlin,DEN,RB,12,2 out of 5 stars,53
198,11,Tyler Lockett,TEN,WR,10,4 out of 5 stars,51
199,11,Mike Gesicki,CIN,TE,10,2 out of 5 stars,10
200,11,Dontayvion Wicks,GB,WR,5,2 out of 5 stars,73
201,11,Green Bay Packers,GB,DST,5,2 out of 5 stars,3
202,11,DeAndre Hopkins,BAL,WR,7,3 out of 5 stars,-2
203,11,Aaron Rodgers,PIT,QB,5,4 out of 5 stars,8
204,11,Jaylin Noel,HOU,WR,6,4 out of 5 stars,73
205,11,Ka'imi Fairbairn,HOU,K,6,3 out of 5 stars,-60
206,11,Los Angeles Rams,LAR,DST,8,3 out of 5 stars,38
207,11,Cade Otton,TB,TE,9,3 out of 5 stars,-4
208,11,Seattle Seahawks,SEA,DST,8,3 out of 5 stars,27
209,11,Michael Wilson,ARI,WR,8,4 out of 5 stars,102
210,11,Harrison Butker,KC,K,10,3 out of 5 stars,-52
211,11,Chase McLaughlin,TB,K,9,3 out of 5 stars,-77
212,11,Evan McPherson,CIN,K,10,1 out of 5 stars,-28
213,12,Andrei Iosivas,CIN,WR,10,3 out of 5 stars,43
214,12,Adonai Mitchell,IND,WR,11,4 out of 5 stars,57
215,12,Jason Sanders,MIA,K,12,2 out of 5 stars,-55
216,12,Juwan Johnson,NO,TE,11,3 out of 5 stars,87
217,12,Roman Wilson,PIT,WR,5,4 out of 5 stars,79
218,12,Elic Ayomanor,TEN,WR,10,4 out of 5 stars,87
219,12,Devin Neal,NO,RB,11,4 out of 5 stars,55
220,12,Jake Elliott,PHI,K,9,2 out of 5 stars,-26
221,12,Jalen Tolbert,DAL,WR,10,2 out of 5 stars,168
222,12,Kareem Hunt,KC,RB,10,2 out of 5 stars,-55
223,12,J.K. Dobbins,DEN,RB,12,2 out of 5 stars,-106
224,12,Tyler Bass,BUF,K,7,2 out of 5 stars,-63
225,12,Darius Slayton,NYG,WR,14,2 out of 5 stars,38
226,12,Jalen Royals,KC,WR,10,3 out of 5 stars,29
227,12,Justice Hill,BAL,RB,7,4 out of 5 stars,-40
228,12,Mason Taylor,NYJ,TE,9,3 out of 5 stars,-11
229,12,Kendre Miller,NO,RB,11,4 out of 5 stars,12
230,12,San Francisco 49ers,SF,DST,14,5 out of 5 stars,-2
231,12,Cameron Ward,TEN,QB,10,2 out of 5 stars,-34
232,12,Dalton Schultz,HOU,TE,6,3 out of 5 stars,-13
233,12,Amari Cooper,FA,WR,-,-,46
234,12,Antonio Gibson,NE,RB,14,4 out of 5 stars,88
235,12,Cole Kmet,CHI,TE,5,4 out of 5 stars,22
236,12,Ollie Gordon II,MIA,RB,12,4 out of 5 stars,32
237,12,Devaughn Vele,DEN,WR,12,3 out of 5 stars,154
238,12,Younghoe Koo,ATL,K,5,4 out of 5 stars,-28
239,12,Kenneth Gainwell,PIT,RB,5,4 out of 5 stars,63
240,12,Elijah Mitchell,KC,RB,10,2 out of 5 stars,-20
241,12,Pat Bryant,DEN,WR,12,3 out of 5 stars,34
242,12,Brandin Cooks,NO,WR,11,4 out of 5 stars,158
243,12,A.J. Dillon,PHI,RB,9,3 out of 5 stars,67
244,12,Kyle Monangai,CHI,RB,5,3 out of 5 stars,15
245,12,Xavier Restrepo,TEN,WR,10,4 out of 5 stars,64
246,12,Cleveland Browns,CLE,DST,9,3 out of 5 stars,-4
247,12,Chig Okonkwo,TEN,TE,10,3 out of 5 stars,-32
248,12,Matt Gay,WAS,K,12,3 out of 5 stars,-41
249,12,Ja'Tavion Sanders,CAR,TE,14,4 out of 5 stars,50
250,12,Joshua Karty,LAR,K,8,2 out of 5 stars,1
251,12,Daniel Carlson,LV,K,8,3 out of 5 stars,-33
252,12,Isaiah Bond,FA,WR,-,-,-
253,12,Dallas Cowboys,DAL,DST,10,0 out of 5 stars,-55
254,13,Diontae Johnson,CLE,WR,9,2 out of 5 stars,15
255,13,Raheem Mostert,LV,RB,8,2 out of 5 stars,-41
256,13,Harold Fannin Jr.,CLE,TE,9,3 out of 5 stars,74
257,13,Devin Singletary,NYG,RB,14,3 out of 5 stars,126
258,13,Elijah Moore,BUF,WR,7,3 out of 5 stars,75
259,13,Kayshon Boutte,NE,WR,14,3 out of 5 stars,33
260,13,Tez Johnson,TB,WR,9,3 out of 5 stars,178
261,13,Noah Gray,KC,TE,10,3 out of 5 stars,0
262,13,Will Shipley,PHI,RB,9,3 out of 5 stars,-67
263,13,Washington Commanders,WAS,DST,12,4 out of 5 stars,-20
264,13,Gabe Davis,FA,WR,-,-,-
265,13,Malik Washington,MIA,WR,12,3 out of 5 stars,272
266,13,Noah Fant,CIN,TE,10,2 out of 5 stars,116
267,13,Nick Westbrook-Ikhine,MIA,WR,12,3 out of 5 stars,144
268,13,Calvin Austin III,PIT,WR,5,4 out of 5 stars,-10
269,13,Daniel Jones,IND,QB,11,3 out of 5 stars,45
270,13,Joe Flacco,CLE,QB,9,2 out of 5 stars,17
271,13,Miles Sanders,DAL,RB,10,2 out of 5 stars,-44
272,13,Keenan Allen,FA,WR,-,-,-70
273,13,Dyami Brown,JAC,WR,8,4 out of 5 stars,-1
274,13,Keaton Mitchell,BAL,RB,7,4 out of 5 stars,4
275,13,Russell Wilson,NYG,QB,14,1 out of 5 stars,-50
276,13,Tim Patrick,DET,WR,8,3 out of 5 stars,56
277,13,Damien Martinez,SEA,RB,8,3 out of 5 stars,191
278,13,Khalil Herbert,IND,RB,11,2 out of 5 stars,308
279,13,Tampa Bay Buccaneers,TB,DST,9,3 out of 5 stars,-40
280,13,Anthony Richardson Sr.,IND,QB,11,3 out of 5 stars,-91
281,13,Jason Myers,SEA,K,8,5 out of 5 stars,4
282,13,Taysom Hill,NO,TE,11,3 out of 5 stars,-34
283,13,Marquez Valdes-Scantling,SEA,WR,8,3 out of 5 stars,35
284,13,Trevor Etienne,CAR,RB,14,3 out of 5 stars,-32
285,13,Jalen Nailor,MIN,WR,6,2 out of 5 stars,62
286,13,Will Dissly,LAC,TE,12,3 out of 5 stars,79
287,13,Audric Estime,DEN,RB,12,2 out of 5 stars,62
288,13,Tyler Higbee,LAR,TE,8,4 out of 5 stars,-24
289,13,Sean Tucker,TB,RB,9,3 out of 5 stars,23
290,13,Dameon Pierce,HOU,RB,6,2 out of 5 stars,80
291,13,Parker Washington,JAC,WR,8,4 out of 5 stars,322
292,13,Jarquez Hunter,LAR,RB,8,3 out of 5 stars,-59
293,13,Elijah Arroyo,SEA,TE,8,4 out of 5 stars,-70
294,13,Chicago Bears,CHI,DST,5,2 out of 5 stars,-63
295,13,Jaxson Dart,NYG,QB,14,1 out of 5 stars,-41
296,13,Tre Tucker,LV,WR,8,4 out of 5 stars,103
297,13,Isaac TeSlaa,DET,WR,8,3 out of 5 stars,-63
298,13,Christian Watson,GB,WR,5,2 out of 5 stars,26
299,13,Tai Felton,MIN,WR,6,2 out of 5 stars,106
300,13,Luke McCaffrey,WAS,WR,12,3 out of 5 stars,19
301,13,Ty Johnson,BUF,RB,7,4 out of 5 stars,118
302,14,Jordan James,SF,RB,14,3 out of 5 stars,29
303,14,Theo Johnson,NYG,TE,14,2 out of 5 stars,-23
304,14,Ben Sinnott,WAS,TE,12,3 out of 5 stars,50
305,14,Brashard Smith,KC,RB,10,2 out of 5 stars,-76
306,14,Terrance Ferguson,LAR,TE,8,4 out of 5 stars,-40
307,14,Tutu Atwell,LAR,WR,8,3 out of 5 stars,18
308,14,Woody Marks,HOU,RB,6,2 out of 5 stars,-22
309,14,Tahj Brooks,CIN,RB,10,4 out of 5 stars,-28
310,14,Sincere McCormick,LV,RB,8,2 out of 5 stars,292
311,14,Zack Moss,FA,RB,-,-,-105
312,14,Spencer Rattler,NO,QB,11,5 out of 5 stars,154
313,14,Kimani Vidal,LAC,RB,12,2 out of 5 stars,276
314,14,Jalen Milroe,SEA,QB,8,4 out of 5 stars,-47
315,14,Isaiah Davis,NYJ,RB,9,5 out of 5 stars,502
316,14,Will Reichard,MIN,K,6,0 out of 5 stars,-92
317,14,Jordan Whittington,LAR,WR,8,3 out of 5 stars,33
318,14,Tommy Tremble,CAR,TE,14,4 out of 5 stars,126
319,14,Tyler Conklin,LAC,TE,12,3 out of 5 stars,-54
320,14,Tory Horton,SEA,WR,8,3 out of 5 stars,31
321,14,Tyler Shough,NO,QB,11,5 out of 5 stars,-39
322,14,Alexander Mattison,MIA,RB,12,4 out of 5 stars,88
323,14,Dont'e Thornton Jr.,LV,WR,8,4 out of 5 stars,-93
324,14,Mack Hollins,NE,WR,14,3 out of 5 stars,40
325,14,Chris Brooks,GB,RB,5,4 out of 5 stars,295
326,14,Savion Williams,GB,WR,5,2 out of 5 stars,-33
327,14,Gus Edwards,FA,RB,-,-,-
328,14,Ty Chandler,MIN,RB,6,3 out of 5 stars,45
329,14,Raheim Sanders,LAC,RB,12,2 out of 5 stars,185
330,14,Chimere Dike,TEN,WR,10,4 out of 5 stars,257
331,14,Chris Rodriguez Jr.,WAS,RB,12,2 out of 5 stars,231
332,14,Phil Mafah,DAL,RB,10,2 out of 5 stars,137
333,14,Emanuel Wilson,GB,RB,5,4 out of 5 stars,91
334,14,KaVontae Turpin,DAL,WR,10,2 out of 5 stars,-33
335,14,Zamir White,LV,RB,8,2 out of 5 stars,52
336,14,Gunnar Helm,TEN,TE,10,3 out of 5 stars,213
337,14,Jacory Croskey-Merritt,WAS,RB,12,2 out of 5 stars,-61
338,14,Jacob Cowing,SF,WR,14,4 out of 5 stars,158
339,14,Ray-Ray McCloud III,ATL,WR,5,3 out of 5 stars,-18
340,14,Samaje Perine,CIN,RB,10,4 out of 5 stars,69
341,14,Noah Brown,WAS,WR,12,3 out of 5 stars,115
342,14,Oronde Gadsden II,LAC,TE,12,3 out of 5 stars,-6
343,14,Kenny Pickett,CLE,QB,9,2 out of 5 stars,257
344,14,Jaylin Lane,WAS,WR,12,3 out of 5 stars,209
345,14,Ja'Lynn Polk,NE,WR,14,3 out of 5 stars,366
346,14,Luke Musgrave,GB,TE,5,2 out of 5 stars,-11
347,14,Jermaine Burton,CIN,WR,10,3 out of 5 stars,232
348,14,Dawson Knox,BUF,TE,7,3 out of 5 stars,-35
349,14,John Metchie III,HOU,WR,6,4 out of 5 stars,327
350,14,Troy Franklin,DEN,WR,12,3 out of 5 stars,-59
351,14,Kirk Cousins,ATL,QB,5,4 out of 5 stars,-24
352,14,Mitchell Evans,CAR,TE,14,4 out of 5 stars,98
353,14,Tank Dell,HOU,WR,6,4 out of 5 stars,-47
354,14,Austin Hooper,NE,TE,14,3 out of 5 stars,-9
355,14,LeQuint Allen Jr.,JAC,RB,8,2 out of 5 stars,176
356,14,Darnell Washington,PIT,TE,5,3 out of 5 stars,-17
357,14,New England Patriots,NE,DST,14,4 out of 5 stars,-117
358,14,Ameer Abdullah,SF,RB,14,3 out of 5 stars,227
359,14,Jameis Winston,NYG,QB,14,1 out of 5 stars,75
360,14,Cam Akers,NO,RB,11,4 out of 5 stars,157
361,14,Donovan Edwards,NYJ,RB,9,5 out of 5 stars,145
362,14,Marcus Yarns,NO,RB,11,4 out of 5 stars,495
363,14,Shedeur Sanders,CLE,QB,9,2 out of 5 stars,-116
364,14,Trey Sermon,PIT,RB,5,4 out of 5 stars,307
365,14,Jonathon Brooks,CAR,RB,14,3 out of 5 stars,171
